index,day,segment,game,start,end,vidCoeff,mobCoeff,reach
1,-1,OML,1,1,5,2.4703382963837095,1.8911430445680333,6507
2,-1,OMH,1,1,5,2.4703382963837095,1.8911430445680333,6507
3,-1,OFL,0,0,0,0,0,0
4,-1,OFH,0,0,0,0,0,0
5,-1,YML,0,0,0,0,0,0
6,-1,YMH,0,0,0,0,0,0
7,-1,YFL,0,0,0,0,0,0
8,-1,YFH,0,0,0,0,0,0
9,0,OML,0,0,0,0,0,0
10,0,OMH,0,0,0,0,0,0
11,0,OFL,0,0,0,0,0,0
12,0,OFH,0,0,0,0,0,0
13,0,YML,1,2,4,2.120725045565905,2.0138775890508436,2289
14,0,YMH,0,0,0,0,0,0
15,0,YFL,1,2,4,2.120725045565905,2.0138775890508436,2289
16,0,YFH,0,0,0,0,0,0
17,1,OML,0,0,0,0,0,0
18,1,OMH,0,0,0,0,0,0
19,1,OFL,0,0,0,0,0,0
20,1,OFH,0,0,0,0,0,0
21,1,YML,1,3,5,2.6855167683974686,2.0056026337926243,3529
22,1,YMH,1,3,5,2.6855167683974686,2.0056026337926243,3529
23,1,YFL,0,0,0,0,0,0
24,1,YFH,0,0,0,0,0,0
25,2,OML,0,0,0,0,0,0
26,2,OMH,0,0,0,0,0,0
27,2,OFL,0,0,0,0,0,0
28,2,OFH,0,0,0,0,0,0
29,2,YML,1,4,8,2.413627855486891,2.1016663635902733,5882
30,2,YMH,1,4,8,2.413627855486891,2.1016663635902733,5882
31,2,YFL,0,0,0,0,0,0
32,2,YFH,0,0,0,0,0,0
33,3,OML,1,5,14,2.059940393470332,1.7992881548487323,20824
34,3,OMH,1,5,14,2.059940393470332,1.7992881548487323,20824
35,3,OFL,0,0,0,0,0,0
36,3,OFH,0,0,0,0,0,0
37,3,YML,0,0,0,0,0,0
38,3,YMH,0,0,0,0,0,0
39,3,YFL,0,0,0,0,0,0
40,3,YFH,0,0,0,0,0,0
41,4,OML,0,0,0,0,0,0
42,4,OMH,0,0,0,0,0,0
43,4,OFL,0,0,0,0,0,0
44,4,OFH,0,0,0,0,0,0
45,4,YML,0,0,0,0,0,0
46,4,YMH,1,6,10,2.2631640124969996,1.7860325380622202,3092
47,4,YFL,0,0,0,0,0,0
48,4,YFH,1,6,10,2.2631640124969996,1.7860325380622202,3092
49,5,OML,1,7,11,2.8986813218034637,1.5001098180612136,16784
50,5,OMH,0,0,0,0,0,0
51,5,OFL,1,7,11,2.8986813218034637,1.5001098180612136,16784
52,5,OFH,0,0,0,0,0,0
53,5,YML,0,0,0,0,0,0
54,5,YMH,0,0,0,0,0,0
55,5,YFL,0,0,0,0,0,0
56,5,YFH,0,0,0,0,0,0
57,6,OML,0,0,0,0,0,0
58,6,OMH,0,0,0,0,0,0
59,6,OFL,0,0,0,0,0,0
60,6,OFH,0,0,0,0,0,0
61,6,YML,1,8,12,2.795931210494295,1.9919720480333392,2353
