index,day,segment,game,start,end,vidCoeff,mobCoeff,reach
1,-1,OML,0,0,0,0,0,0
2,-1,OMH,0,0,0,0,0,0
3,-1,OFL,0,0,0,0,0,0
4,-1,OFH,1,1,5,2.7862527946833464,2.1381785487552127,1657
5,-1,YML,0,0,0,0,0,0
6,-1,YMH,0,0,0,0,0,0
7,-1,YFL,0,0,0,0,0,0
8,-1,YFH,1,1,5,2.7862527946833464,2.1381785487552127,1657
9,0,OML,0,0,0,0,0,0
10,0,OMH,0,0,0,0,0,0
11,0,OFL,1,2,4,2.5955767811810255,1.973090662404839,3026
12,0,OFH,1,2,4,2.5955767811810255,1.973090662404839,3026
13,0,YML,0,0,0,0,0,0
14,0,YMH,0,0,0,0,0,0
15,0,YFL,1,2,4,2.5955767811810255,1.973090662404839,3026
16,0,YFH,1,2,4,2.5955767811810255,1.973090662404839,3026
17,1,OML,0,0,0,0,0,0
18,1,OMH,0,0,0,0,0,0
19,1,OFL,0,0,0,0,0,0
20,1,OFH,0,0,0,0,0,0
21,1,YML,1,3,5,2.583873752227325,1.9854227435498144,3529
22,1,YMH,1,3,5,2.583873752227325,1.9854227435498144,3529
23,1,YFL,0,0,0,0,0,0
24,1,YFH,0,0,0,0,0,0
