index,day,segment,game,start,end,vidCoeff,mobCoeff,reach
1,-1,OML,0,0,0,0,0,0
2,-1,OMH,1,1,5,2.788657691648281,1.6136614447655306,3037
3,-1,OFL,0,0,0,0,0,0
4,-1,OFH,1,1,5,2.788657691648281,1.6136614447655306,3037
5,-1,YML,0,0,0,0,0,0
6,-1,YMH,0,0,0,0,0,0
7,-1,YFL,0,0,0,0,0,0
8,-1,YFH,0,0,0,0,0,0
9,0,OML,0,0,0,0,0,0
10,0,OMH,0,0,0,0,0,0
11,0,OFL,0,0,0,0,0,0
12,0,OFH,0,0,0,0,0,0
13,0,YML,0,0,0,0,0,0
14,0,YMH,0,0,0,0,0,0
15,0,YFL,0,0,0,0,0,0
16,0,YFH,1,2,11,2.9340287245840364,1.6835355668819436,512
17,1,OML,0,0,0,0,0,0
18,1,OMH,0,0,0,0,0,0
19,1,OFL,0,0,0,0,0,0
20,1,OFH,1,3,7,2.4222982932759756,2.31534879244046,663
21,1,YML,0,0,0,0,0,0
22,1,YMH,0,0,0,0,0,0
23,1,YFL,0,0,0,0,0,0
24,1,YFH,1,3,7,2.4222982932759756,2.31534879244046,663
25,2,OML,0,0,0,0,0,0
26,2,OMH,1,4,6,2.5991569429632935,1.5597810234978275,2916
27,2,OFL,0,0,0,0,0,0
28,2,OFH,1,4,6,2.5991569429632935,1.5597810234978275,2916
29,2,YML,0,0,0,0,0,0
30,2,YMH,0,0,0,0,0,0
31,2,YFL,0,0,0,0,0,0
32,2,YFH,0,0,0,0,0,0
33,3,OML,1,5,9,2.3705001180165888,2.399221264207001,21644
34,3,OMH,1,5,9,2.3705001180165888,2.399221264207001,21644
35,3,OFL,1,5,9,2.3705001180165888,2.399221264207001,21644
36,3,OFH,1,5,9,2.3705001180165888,2.399221264207001,21644
37,3,YML,0,0,0,0,0,0
38,3,YMH,0,0,0,0,0,0
39,3,YFL,0,0,0,0,0,0
40,3,YFH,0,0,0,0,0,0
41,4,OML,0,0,0,0,0,0
42,4,OMH,0,0,0,0,0,0
43,4,OFL,0,0,0,0,0,0
44,4,OFH,0,0,0,0,0,0
45,4,YML,0,0,0,0,0,0
46,4,YMH,1,6,8,2.978065299688196,1.5441874577745007,1855
47,4,YFL,0,0,0,0,0,0
48,4,YFH,1,6,8,2.978065299688196,1.5441874577745007,1855
49,5,OML,0,0,0,0,0,0
50,5,OMH,0,0,0,0,0,0
51,5,OFL,1,7,9,2.0810365780041256,2.220117803898779,1440
52,5,OFH,0,0,0,0,0,0
53,5,YML,0,0,0,0,0,0
54,5,YMH,0,0,0,0,0,0
55,5,YFL,0,0,0,0,0,0
56,5,YFH,0,0,0,0,0,0
57,6,OML,0,0,0,0,0,0
58,6,OMH,1,8,10,2.5282155285150107,1.9552073115121738,484
59,6,OFL,0,0,0,0,0,0
60,6,OFH,0,0,0,0,0,0
61,6,YML,0,0,0,0,0,0
62,6,YMH,0,0,0,0,0,0
63,6,YFL,0,0,0,0,0,0
64,6,YFH,0,0,0,0,0,0
65,7,OML,0,0,0,0,0,0
66,7,OMH,0,0,0,0,0,0
67,7,OFL,0,0,0,0,0,0
68,7,OFH,0,0,0,0,0,0
69,7,YML,0,0,0,0,0,0
70,7,YMH,0,0,0,0,0,0
71,7,YFL,1,9,18,2.0342300740451753,2.134516214200423,15840
72,7,YFH,0,0,0,0,0,0
73,8,OML,0,0,0,0,0,0
74,8,OMH,0,0,0,0,0,0
